opcode,mnem,op_enc,ops,prefs,feature_flag,exceptions
20 /r,AND,MR,r/m8:merw; r8:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
21 /r,AND,MR,r/m16:merw; r16:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
21 /r,AND,MR,r/m32:merw; r32:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
21 /r,AND,MR,r/m64:merw; r64:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,lock:optional/1; rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
22 /r,AND,RM,r8:merw; r/m8:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
23 /r,AND,RM,r16:merw; r/m16:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
23 /r,AND,RM,r32:merw; r/m32:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
23 /r,AND,RM,r64:merw; r/m64:mer; OF:0; CF:0; SF:w; ZF:w; PF:w; AF:u,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
VEX.NDS.LZ.0F38.W0 F2 /r,ANDN,RVM,r32:mew; r32:mer; r/m32:mer; SF:w; ZF:w; OF:0; CF:0; AF:u; PF:u,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC
VEX.NDS.LZ.0F38.W1 F2 /r,ANDN,RVM,r64:mew; r64:mer; r/m64:mer; SF:w; ZF:w; OF:0; CF:0; AF:u; PF:u,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC
0F 54 /r,ANDPD,RM,xmm:merw; xmm/m128:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GPS; AC; PFS
VEX.NDS.128.66.0F 54 /r,VANDPD,RVM,xmm:mew; xmm:mer; xmm/m128:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.66.0F 54 /r,VANDPD,RVM,ymm:mew; ymm:mer; ymm/m256:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
